연번,광역자치단체명,기초자치단체명,축제명,축제 유형,시작일,종료일
830,전남,해남군,해남 공룡대축제,문화예술-음악·공연,2025-05-03,2025-05-05
831,전남,해남군,해남 미남축제,지역특산물-먹거리·로컬장터,2025-10-31,2025-11-02
832,전남,해남군,땅끝해남 해넘이해맞이 축제,자연생태-산·숲·생태,2025-12-31,2026-01-01
834,전남,해남군,달마고도 힐링축제,자연생태-산·숲·생태,2025-03-22,2025-03-22
835,전남,해남군,흑석산 소풍힐링축제,자연생태-산·숲·생태,2025-04-25,2025-04-26
836,전남,해남군,황산 연호보리축제,지역특산물-먹거리·로컬장터,2025-04-26,2025-04-26
837,전남,해남군,두륜산 왕벚꽃나무 막걸리축제,지역특산물-술·음료,2025-04-11,2025-04-12
838,전남,해남군,옥천 무궁화축제,전통역사-전통·민속,2025-09-05,2025-09-06
839,전남,해남군,해남 캠핑관광박람회,문화예술-음악·공연,2025-10-17,2025-10-19
841,전남,해남군,화원 오시아노 해넘이축제,자연생태-산·숲·생태,2025-12-31,2025-12-31
842,전남,해남군,북일 오소재해맞이축제,자연생태-산·숲·생태,2025-12-31,2026-01-01
843,전남,영암군,제26회 영암왕인문화축제,문화예술-음악·공연,2025-03-29,2025-04-06
844,전남,영암군,월출산 국화축제,자연생태-산·숲·생태,2025-11-01,2025-11-16
845,전남,영암군,마한문화축제,전통역사-전통·민속,2025-04-25,2025-04-26
847,전남,무안군,2025 무안겨울숭어축제,지역특산물-먹거리·로컬장터,2025-01-18,2025-01-19
848,전남,무안군,제11회 황토갯벌축제,자연생태-산·숲·생태,2025-05-10,2025-05-25
849,전남,무안군,제28회 무안연꽃축제,자연생태-꽃·식물,2025-06-26,2025-06-29
850,전남,무안군,2025 무안갯벌낙지축제,지역특산물-먹거리·로컬장터,2025-10-25,2025-10-26
851,전남,무안군,제5회 무안YD 페스티벌,문화예술-음악·공연,2025-11-14,2025-11-16
852,전남,함평군,제27회 함평나비대축제,문화예술-음악·공연,2025-04-25,2025-05-06
857,전남,영광군,2025 영광법성포단오제,문화예술-음악·공연,2025-05-29,2025-06-01
859,전남,장성군,제24회 장성 황룡강 (洪)길동무 꽃길 축제,자연생태-꽃·식물,2025-05-10,2025-05-11
861,전남,장성군,2025 장성 황룡강 가을꽃 축제,자연생태-꽃·식물,2025-10-18,2025-10-26
862,전남,완도군,2025 청산도슬로걷기축제,자연생태-산·숲·생태,2025-04-05,2025-05-04
863,전남,완도군,2025 완도장보고수산물축제,지역특산물-수산·해산물,2025-05-03,2025-05-06
865,전남,진도군,제45회 진도신비의바닷길축제,자연생태-산·숲·생태,2025-03-29,2025-04-01
866,전남,진도군,2025 보배섬 진도 유채꽃 축제,자연생태-꽃·식물,2025-04-11,2025-04-13
870,전남,신안군,2025 섬 홍매화축제,자연생태-물·바다·호수·섬,2025-03-07,2025-03-09
871,전남,신안군,2025년 섬 수선화축제,자연생태-물·바다·호수·섬,2025-03-28,2025-04-06
872,전남,신안군,2025 섬 튤립축제,자연생태-꽃·식물,2025-04-04,2025-04-13
873,전남,신안군,2025년 팔금 섬 유채꽃축제,자연생태-꽃·식물,2025-04-16,2025-04-25
874,전남,신안군,섬 간재미축제,지역특산물-먹거리·로컬장터,2025-04-19,2025-04-20
875,전남,신안군,100+4 피아노섬 축제,문화예술-음악·공연,2025-04-26,2025-04-27
876,전남,신안군,신안 세계 김밥페스타,문화예술-음악·공연,2025-04-26,2025-04-27
877,전남,신안군,섬 홍어축제,지역특산물-먹거리·로컬장터,2025-05-04,2025-05-05
878,전남,신안군,옥도 작약 꽃 축제,자연생태-꽃·식물,2025-05-09,2025-05-17
879,전남,신안군,라벤더 축제,자연생태-산·숲·생태,2025-05-16,2025-05-25
880,전남,신안군,신안 샴막 예술 축제,문화예술-음악·공연,2025-05-17,2025-05-18
881,전남,신안군,섬 낙지축제,지역특산물-먹거리·로컬장터,2025-05-18,2025-05-19
882,전남,신안군,버들마편초 축제,자연생태-산·숲·생태,2025-05-23,2025-06-30
883,전남,신안군,2025년 돈나무꽃 축제,자연생태-꽃·식물,2025-05-23,2025-05-25
884,전남,신안군,섬 깡다리축제,지역특산물-먹거리·로컬장터,2025-05-25,2025-05-26
885,전남,신안군,섬 병어축제,지역특산물-먹거리·로컬장터,2025-06-07,2025-06-08
886,전남,신안군,섬 밴댕이축제,지역특산물-먹거리·로컬장터,2025-06-07,2025-06-08
887,전남,신안군,제6회 섬 수국축제,문화예술-음악·공연,2025-06-20,2025-06-29
