연번,광역자치단체명,기초자치단체명,축제명,축제 유형,시작일,종료일
1160,제주,-,제주 반려동물 문화산업 한마당,문화예술-음악·공연,2025-05-30,2025-06-01
1172,제주,제주시,2025 제주들불축제,전통역사-전통·민속,2025-03-14,2025-03-16
1179,제주,제주시,우도 소라축제,지역특산물-먹거리·로컬장터,2025-04-18,2025-04-20
1181,제주,제주시,제18회 전농로 왕벚꽃축제,자연생태-꽃·식물,2025-03-28,2025-03-30
1186,제주,제주시,제22회 방선문축제,전통역사-전통·민속,2025-05-04,2025-05-05
1190,제주,서귀포시,제42회 서귀포유채꽃축제,자연생태-꽃·식물,2025-03-29,2025-03-30
1191,제주,서귀포시,제31회 서귀포칠십리축제,문화예술-음악·공연,2025-10-24,2025-10-26
1210,경기,부천시,부천 원미산 진달래 축제,문화예술-음악·공연,2025-03-29,2025-03-30
1211,경기,부천시,부천 페스타(B-festa)-봄꽃여행,문화예술-음악·공연,2025-03-29,2025-04-06
1212,경기,부천시,제27회 부천 도당산 벚꽃축제,문화예술-음악·공연,2025-04-12,2025-04-13
1213,경기,부천시,제40회 복사골예술제,문화예술-음악·공연,2025-05-02,2025-05-05
1214,경기,부천시,소사복숭아축제,문화예술-음악·공연,2025-08-29,2025-08-30
